page_url,image_url,name,rank,faculty
http://its.iust.ac.ir/profile/afalahati,https://its.iust.ac.ir/sites/default/files/userpics/picture-120-1544103123.jpg,دکتر ابوالفضل فلاحتی,استاد,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/fouladgar,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,محمد مجید فولاد گر,استاديار,دانشکده مهندسي پيشرفت
http://its.iust.ac.ir/profile/nfahimi,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,نوید فهیمی,استاديار,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/edris,https://its.iust.ac.ir/sites/default/files/pictures/picture-348-1677243968.jpg,دکتر سیدادریس فیض آبادی,استاد,دانشکده فيزيک
http://its.iust.ac.ir/profile/mfaizi,https://its.iust.ac.ir/sites/default/files/userpics/picture-833-1581520599_0.jpg,دکتر محسن فیضی,استاد,دانشکده معماري و شهرسازي
http://its.iust.ac.ir/profile/feyzi,https://its.iust.ac.ir/sites/default/files/pictures/picture-418-19156500.jpg,دکتر فرزانه فیضی,استاد,دانشکده مهندسي شيمي، نفت و گاز
http://its.iust.ac.ir/profile/mghaemi,https://its.iust.ac.ir/sites/default/files/pictures/picture-836-1787166430.jpg,دکتر محمدباقر قائمی,استاد,دانشکده رياضي
http://its.iust.ac.ir/profile/aghaemi,https://its.iust.ac.ir/sites/default/files/userpics/picture-130-1544103123.jpg,دکتر احد قائمی,استاد,دانشکده مهندسي شيمي، نفت و گاز
http://its.iust.ac.ir/profile/p_ghaderi,https://its.iust.ac.ir/sites/default/files/userpics/picture-1826-1547371994.jpg,دکتر پدرام قادری,استاديار,دانشکده مهندسي عمران
http://its.iust.ac.ir/profile/gharouninik,https://its.iust.ac.ir/sites/default/files/pictures/picture-5904-1555336644.jpg,دکتر مرتضی قارونی نیک,استاديار,دانشکده مهندسي راه آهن
http://its.iust.ac.ir/profile/rgzadeh,https://its.iust.ac.ir/sites/default/files/pictures/picture-1033-1536947977.jpg,دکتر رضا قاسم زاده,استاد,دانشکده مواد و متالورژي
http://its.iust.ac.ir/profile/qasemi_mr,https://its.iust.ac.ir/sites/default/files/userpics/picture-35458-1566730845.jpg,دکتر محمودرضا قاسمی,استاديار,گروه آموزشي معارف اسلامي
http://its.iust.ac.ir/profile/h_ghassemi,https://its.iust.ac.ir/sites/default/files/pictures/picture-1441-453932380.jpg,دکتر حجت قاسمی,استاد,دانشکده مهندسي مکانيک
http://its.iust.ac.ir/profile/qasemian,https://its.iust.ac.ir/sites/default/files/userpics/picture-21658-1539530565.jpg,دکتر علی قاسمیان مقدم,استاديار,دانشکده مهندسي خودرو
http://its.iust.ac.ir/profile/ghaheri,https://its.iust.ac.ir/sites/default/files/pictures/picture-431-261797919.jpg,دکتر عباس قاهری,استاد,دانشکده مهندسي عمران
http://its.iust.ac.ir/profile/ghodrati,https://its.iust.ac.ir/sites/default/files/pictures/picture-452-2137294284.jpg,دکتر غلامرضا قدرتی امیری,استاد,دانشکده مهندسي عمران
http://its.iust.ac.ir/profile/ghoddousi,https://its.iust.ac.ir/sites/default/files/pictures/picture-450-241960458.jpg,دکتر پرویز قدوسی,استاد,دانشکده مهندسي عمران
http://its.iust.ac.ir/profile/bahman_gh,https://its.iust.ac.ir/sites/default/files/userpics/picture-263-1505288315.jpg,دکتر بهمن قربانی,استاديار,دانشکده مهندسي راه آهن
http://its.iust.ac.ir/profile/ghorbanian,https://its.iust.ac.ir/sites/default/files/userpics/picture-20529-1543822989_0.jpg,دکتر مهشید قربانیان,استاديار,دانشکده معماري و شهرسازي
http://its.iust.ac.ir/profile/ayat_gharehghani,https://its.iust.ac.ir/sites/default/files/userpics/picture-24674-1539530565.jpg,دکتر آیت قره قانی,دانشيار,دانشکده مهندسي مکانيک
http://its.iust.ac.ir/profile/hghassai,https://its.iust.ac.ir/sites/default/files/pictures/picture-536-1071063162.jpg,حسین قصاعی,مربي,دانشکده مواد و متالورژي
http://its.iust.ac.ir/profile/ghannadpour,https://its.iust.ac.ir/sites/default/files/userpics/picture-433-1479810344_0.jpg,سید فرید قنادپور,دانشيار,دانشکده مهندسي صنايع
http://its.iust.ac.ir/profile/hajar_ghanbari,https://its.iust.ac.ir/sites/default/files/userpics/picture-96549-1744463573.jpg,هاجر قنبری,استاديار,دانشکده مواد و متالورژي
http://its.iust.ac.ir/profile/samane_ghandehariun,https://its.iust.ac.ir/sites/default/files/userpics/picture-24681-1539530565.jpg,دکتر سمانه قندهاریون,استاديار,دانشکده مهندسي مکانيک
http://its.iust.ac.ir/profile/ghousi,https://its.iust.ac.ir/sites/default/files/pictures/picture-459-1106118856.jpg,دکتر روزبه قوسی,دانشيار,دانشکده مهندسي صنايع
http://its.iust.ac.ir/profile/haik.k,https://its.iust.ac.ir/sites/default/files/userpics/picture-505-1631116353_0.jpg,هایک قولتوقچیان,مربي,دانشکده فيزيک
http://its.iust.ac.ir/profile/h_garamani,https://its.iust.ac.ir/sites/default/files/pictures/picture-478-1630862442.jpg,دکتر حسین قهرمانی,استاديار,دانشکده مهندسي راه آهن
http://its.iust.ac.ir/profile/hkazari,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,حسام کازری,استاديار,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/marghus,https://its.iust.ac.ir/sites/default/files/pictures/picture-784-496824437.jpg,دکتر واهاک کاسپاری مارقوسیان,استاد,دانشکده مواد و متالورژي
http://its.iust.ac.ir/profile/f_kashef,https://its.iust.ac.ir/sites/default/files/pictures/picture-387-504986253.jpg,فاطمه کاشف الحق,مربي,گروه آموزشي تربيت بدني
http://its.iust.ac.ir/profile/kazemi,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,احد کاظمی,دانشيار,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/skazemirad,https://its.iust.ac.ir/sites/default/files/userpics/picture-23071-1539530565.jpg,دکتر سیاوش کاظمی راد,استاديار,دانشکده مهندسي مکانيک
http://its.iust.ac.ir/profile/asiehsadat_kazemi,https://its.iust.ac.ir/sites/default/files/userpics/picture-34532-1563607576.jpg,دکتر آسیه السادات کاظمی شیخ شبانی,استاديار,دانشکده فيزيک
http://its.iust.ac.ir/profile/kakaee_ah,https://its.iust.ac.ir/sites/default/files/userpics/picture-621-1541229132_0.jpg,دکتر امیرحسن کاکایی,دانشيار,دانشکده مهندسي خودرو
http://its.iust.ac.ir/profile/nkamboozia,https://its.iust.ac.ir/sites/default/files/pictures/picture-9128-826045529.jpg,دکتر ندا کامبوزیا,استاديار,دانشکده مهندسي عمران
http://its.iust.ac.ir/profile/avidehkamrani,https://its.iust.ac.ir/sites/default/files/userpics/picture-41483-1574677572.jpg,دکتر آویده کامرانی,استاديار,دانشکده معماري و شهرسازي
http://its.iust.ac.ir/profile/alikaveh,https://its.iust.ac.ir/sites/default/files/userpics/picture-161-1544103123.jpg,دکتر علی کاوه,استاد,دانشکده مهندسي عمران
http://its.iust.ac.ir/profile/ghk,https://its.iust.ac.ir/sites/default/files/pictures/picture-448-890288935.jpg,غلامحسین کتابی,مربي,دانشکده فيزيک
http://its.iust.ac.ir/profile/kasiri,https://its.iust.ac.ir/sites/default/files/pictures/picture-641-700360776.jpg,دکتر نوراله کثیری بیدهندی,استاد,دانشکده مهندسي شيمي، نفت و گاز
http://its.iust.ac.ir/profile/kordbacheh,https://its.iust.ac.ir/sites/default/files/pictures/picture-690-257101245.jpg,ابوالقاسم کردبچه,نا مشخص,گروه آموزشي تربيت بدني
http://its.iust.ac.ir/profile/karami,https://its.iust.ac.ir/sites/default/files/userpics/picture-2513-1531555480_0.jpg,دکتر محمد عظیم کرمی,دانشيار,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/karimpour_mehran,https://its.iust.ac.ir/sites/default/files/pictures/picture-637-1897891770.jpg,دکتر مهران کریمپور,استاديار,دانشکده مهندسي عمران
http://its.iust.ac.ir/profile/karymi,https://its.iust.ac.ir/sites/default/files/pictures/picture-1580-52023074.jpg,دکتر حمید کریمی,دانشيار,گروه آموزشي معارف اسلامي
http://its.iust.ac.ir/profile/parastookabinejad,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,پرستو کعبی نژاد,استاديار,دانشکده رياضي
http://its.iust.ac.ir/profile/kalantar,https://its.iust.ac.ir/sites/default/files/userpics/picture-622-1531556286_0.jpg,دکتر محسن کلانتر,استاد,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/koleini,https://its.iust.ac.ir/sites/default/files/userpics/picture-688-1566822979_0.jpg,دکتر ناصر کلینی ممقانی,دانشيار,دانشکده معماري و شهرسازي
http://its.iust.ac.ir/profile/n_komjani,https://its.iust.ac.ir/sites/default/files/userpics/picture-13-1539530484.jpg,دکتر نادر کمجانی برچلوئی,استاد,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/kangavari,https://its.iust.ac.ir/sites/default/files/pictures/picture-627-1872674311.jpg,دکتر محمدرضا کنگاوری,دانشيار,دانشکده مهندسی کامپیوتر
http://its.iust.ac.ir/profile/hkoohdar,https://its.iust.ac.ir/sites/default/files/userpics/picture-35707-1567588925.jpg,دکتر حمیدرضا کوه دار,استاديار,دانشکده مواد و متالورژي
http://its.iust.ac.ir/profile/kahaei,https://its.iust.ac.ir/sites/default/files/pictures/picture-620-2022070899.jpg,دکتر محمدحسین کهایی,دانشيار,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/keyarsalan,https://its.iust.ac.ir/sites/default/files/pictures/picture-651-963969678.jpg,ثریا کی ارسلان,--------,دانشکده شيمي
http://its.iust.ac.ir/profile/hkiany,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,هوشنگ کیانی,نا مشخص,دانشکده مهندسي صنايع
http://its.iust.ac.ir/profile/m_garshasbi,https://its.iust.ac.ir/sites/default/files/userpics/picture-715-1608369714_0.jpg,دکتر مرتضی گرشاسبی,استاديار,دانشکده رياضي
http://its.iust.ac.ir/profile/golestanifard,https://its.iust.ac.ir/sites/default/files/pictures/picture-465-681364452.jpg,دکتر فرهاد گلستانی فرد,استاد,دانشکده مواد و متالورژي
http://its.iust.ac.ir/profile/rgolshan,https://its.iust.ac.ir/sites/default/files/userpics/picture-44936-1583980801.jpg,دکتر رضا گلشن خواص,استاديار,دانشکده مهندسي عمران
http://its.iust.ac.ir/profile/s_ganjefar,https://its.iust.ac.ir/sites/default/files/userpics/picture-34530-1601347201.jpg,دکتر سهیل گنجه فر,استاد,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/mgoodarzi,https://its.iust.ac.ir/sites/default/files/pictures/picture-838-1860015550.jpg,دکتر مسعود گودرزی,دانشيار,دانشکده مواد و متالورژي
http://its.iust.ac.ir/profile/gohari,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,دکتر علیرضا گوهری انارکی,دانشيار,دانشکده مهندسي مکانيک
http://its.iust.ac.ir/profile/amakui,https://its.iust.ac.ir/sites/default/files/userpics/picture-171-1547371994.jpg,دکتر احمد ماکویی,استاد,دانشکده مهندسي صنايع
http://its.iust.ac.ir/profile/maleknejad,https://its.iust.ac.ir/sites/default/files/userpics/picture-776-1515253133.jpg,دکتر خسرو مالک نژاد,استاد,دانشکده رياضي
http://its.iust.ac.ir/profile/sajadmoazen,https://its.iust.ac.ir/sites/default/files/userpics/picture-37978-1569408062.jpg,دکتر سجاد مؤذن,استاديار,دانشکده معماري و شهرسازي
http://its.iust.ac.ir/profile/mojaradi,https://its.iust.ac.ir/sites/default/files/userpics/picture-2393-1539530565.jpg,دکتر برات مجردی,دانشيار,دانشکده مهندسي عمران
http://its.iust.ac.ir/profile/zolbanin,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,حبیب مجیدی ذوالبنین,استاد,دانشکده فيزيک
http://its.iust.ac.ir/profile/kassai,https://its.iust.ac.ir/sites/default/files/pictures/picture-642-1961479412.jpg,دکتر سیداحمد محدث کسایی,استاديار,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/mohsenisalehi,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,مطهره سادات محسنی صالحی منفرد,استاديار,دانشکده مواد و متالورژي
http://its.iust.ac.ir/profile/h_mosaddad,https://its.iust.ac.ir/sites/default/files/pictures/picture-484-341310452.jpg,دکتر سیدهاشم مسدد,استاديار,دانشکده معماري و شهرسازي
http://its.iust.ac.ir/profile/masoodpanah,https://its.iust.ac.ir/sites/default/files/pictures/picture-7526-1938491292.jpg,دکتر سید مرتضی مسعود پناه,دانشيار,دانشکده مواد و متالورژي
http://its.iust.ac.ir/profile/mosayebi,https://its.iust.ac.ir/sites/default/files/pictures/picture-3041-475186322.jpg,سید علی مسیبی,استاديار,دانشکده مهندسي راه آهن
http://its.iust.ac.ir/profile/masih,https://its.iust.ac.ir/sites/default/files/pictures/picture-10174-1765568212.jpg,مسعود مسیح طهرانی,دانشيار,دانشکده مهندسي خودرو
http://its.iust.ac.ir/profile/mashayekh,https://its.iust.ac.ir/sites/default/files/userpics/picture-64196-1633574402.jpg,جواد مشایخ,استاديار,دانشکده مهندسي پيشرفت
http://its.iust.ac.ir/profile/smashhadi,https://its.iust.ac.ir/sites/default/files/pictures/picture-1202-447747367.jpg,دکتر سمانه مشهدی,دانشيار,دانشکده رياضي
http://its.iust.ac.ir/profile/b_mashhadi,https://its.iust.ac.ir/sites/default/files/pictures/picture-249-1064071324.jpg,دکتر بهروز مشهدی,استاد,دانشکده مهندسي خودرو
http://its.iust.ac.ir/profile/fmozafar,https://its.iust.ac.ir/sites/default/files/pictures/picture-1595-937682435.jpg,دکتر فرهنگ مظفر,دانشيار,دانشکده معماري و شهرسازي
