citation_per_article,documents,academic_rank,faculty,name,url,g_index,h_index
۲۱/۸۳,۳۸۶,استاد,مهندسی برق,سیدمحمدرضا موسوی میرکلائی,https://scimet.iust.ac.ir/MohammadReza_Mosavi,۷۹,۴۲
۲۵/۷۴,۲۲۳,استاد,مهندسی مکانیک,رامین هاشمی,https://scimet.iust.ac.ir/Ramin_Hashemi,۶۸,۴۲
۲۷/۹۱,۱۹۲,دانشیار,فناوری های نوین,ابوالفضل احمدی,https://scimet.iust.ac.ir/Abolfazl_Ahmadi,۶۹,۴۲
۲۴/۵۲,۲۰۵,دانشیار,مهندسی مواد و متالورژی,سیدمرتضی مسعودپناه,https://scimet.iust.ac.ir/SeyedMorteza_Masoudpanah,۶۰,۴۲
۲۵/۱۱,۱۹۳,استاد,مهندسی مکانیک,مهدی نویدبخش,https://scimet.iust.ac.ir/Mahdi_Navidbakhsh,۶۲,۴۲
۳۴/۵۷,۲۰۷,استاد,مهندسی شیمی، نفت و گاز,سیدحسن هاشم آبادی,https://scimet.iust.ac.ir/SeyedHassan_Hashemabadi,۸۱,۴۱
۱۵/۹۱,۴۳۲,دانشیار,ریاضی,رضا سعادتی,https://scimet.iust.ac.ir/Reza_Saadati,۷۲,۴۱
۴۲/۴۴,۱۱۷,دانشیار,شیمی,وحید صفری فرد,https://scimet.iust.ac.ir/Vahid_Safarifard,۶۷,۴۱
۲۳/۱۶,۲۰۸,دانشیار,مهندسی مواد و متالورژی,علیرضا ایوانی,https://scimet.iust.ac.ir/Alireza_Eivani,۵۹,۴۱
۳۹/۴۵,۱۱۸,استاد,مهندسی مکانیک,سپهر صنایع,https://scimet.iust.ac.ir/Sepehr_Sanaye,۶۶,۴۰
۱۱/۵۲,۴۹۶,استاد,مهندسی عمران,غلامرضا قدرتی امیری,https://scimet.iust.ac.ir/Golamreza_GhodratiAmiri,۵۹,۳۹
۳۶/۰۷,۱۵۴,دانشیار,مهندسی شیمی، نفت و گاز,مسعود جمشیدی,https://scimet.iust.ac.ir/Masoud_Jamshidi,۶۹,۳۹
۲۵/۴۷,۱۸۴,استاد,مهندسی راه آهن,داود یونسیان,https://scimet.iust.ac.ir/Davood_Younesian,۶۲,۳۹
۳۱/۹۲,۱۳۰,دانشیار,مهندسی مکانیک,آیت قره قانی,https://scimet.iust.ac.ir/Ayatollah_Gharehghani,۶۲,۳۹
۵۱/۶۷,۱۳۳,دانشیار,مهندسی عمران,اصغر حبیب نژادکورایم,https://scimet.iust.ac.ir/Asghar_HabibnejadKorayem,۸۲,۳۸
۲۰/۸۱,۲۲۴,استاد,شیمی,محمدقربان دکامین,https://scimet.iust.ac.ir/Mohammadghorban_Dekamin,۶۱,۳۸
۲۳/۲۱,۱۷۵,استاد,مهندسی شیمی، نفت و گاز,شاهرخ شاه حسینی,https://scimet.iust.ac.ir/Shahrokh_Shahhosseini,۵۶,۳۸
۲۶/۲۵,۹۳,استادیار,ریاضی,امید نیکان,https://scimet.iust.ac.ir/Omid_Nikan,۴۶,۳۸
۲۰/۱۲,۲۵۰,استاد,مهندسی خودرو,محمدحسن شجاعی فرد,https://scimet.iust.ac.ir/Mohammadhasan_Shojaeefard,۶۲,۳۷
۳۲/۹۳,۱۳۳,استاد,مهندسی عمران,مصطفی خانزادی,https://scimet.iust.ac.ir/Mostafa_Khanzadi,۶۴,۳۷
۵۲/۳,۶۸,استادیار,مهندسی مواد و متالورژی,امین عبداله زاده,https://scimet.iust.ac.ir/Amin_Abdollahzadeh,۵۹,۳۷
۵۳/۵۴,۱۳۳,دانشیار,مهندسی شیمی، نفت و گاز,سوسن روشن ضمیر,https://scimet.iust.ac.ir/Soosan_Rowshanzamir,۸۴,۳۶
۲۰/۱۲,۲۲۸,استاد,مهندسی برق,محمدرضا دلیری,https://scimet.iust.ac.ir/MohammadReza_Daliri,۵۸,۳۶
۲۴/۶۳,۱۸۴,استاد,مهندسی شیمی، نفت و گاز,سیدمهدی علوی املشی,https://scimet.iust.ac.ir/SeyedMehdi_AlaviAmleshi,۵۸,۳۶
۲۱/۹۸,۱۹۵,دانشیار,مهندسی مواد و متالورژی,حمیدرضا جعفریان,https://scimet.iust.ac.ir/HamidReza_Jafarian,۵۴,۳۶
۲۰/۸۱,۲۰۴,استاد,شیمی,آزاده تجردی,https://scimet.iust.ac.ir/Azadeh_Tadjarodi,۵۹,۳۶
۲۳/۱۹,۱۶۸,دانشیار,شیمی,محبوبه ربانی,https://scimet.iust.ac.ir/Mahboubeh_Rabbani,۵۷,۳۶
۲۶/۶۷,۱۳۹,استاد,مهندسی مکانیک,فتح اله طاهری بهروز,https://scimet.iust.ac.ir/Fatollah_TaheriBehrouz,۵۴,۳۶
۲۴/۹۳,۱۲۶,استاد,مهندسی راه آهن,سیدجواد میرمحمدصادقی,https://scimet.iust.ac.ir/SeyedJavad_MirMohammadSadeghi,۵۲,۳۶
۲۶/۱۷,۱۶۴,دانشیار,شیمی,علی غفاری نژاد,https://scimet.iust.ac.ir/Ali_Ghaffarinejad,۵۹,۳۵
۱۸/۵۸,۲۲۲,استاد,مهندسی راه آهن,مرتضی اسمعیلی,https://scimet.iust.ac.ir/Morteza_Esmaeili,۵۶,۳۵
۳۴/۸۴,۱۰۱,دانشیار,شیمی,روح اله زارع دورابی,https://scimet.iust.ac.ir/Rouholah_ZareDorabei,۵۷,۳۵
۱۹/۶۸,۱۹۲,استاد,مهندسی مکانیک,سیدمحمد هاشمی نژاد,https://scimet.iust.ac.ir/SeyedMohammad_Hasheminejad,۴۹,۳۴
۲۰/۲۵,۱۸۳,دانشیار,شیمی,شهرزاد جوانشیر,https://scimet.iust.ac.ir/Shahrzad_Javanshir,۵۴,۳۴
۳۱/۰۷,۱۰۸,استاد,مهندسی شیمی، نفت و گاز,احمد رهبرکلیشمی,https://scimet.iust.ac.ir/Ahmad_RahbarKelishami,۵۵,۳۴
۲۱/۲,۲۳۵,استاد,مهندسی صنایع,محمد فتحیان بروجنی,https://scimet.iust.ac.ir/Mohammad_Fathian,۶۶,۳۳
۱۸/۹۲,۱۶۹,استاد,مهندسی مکانیک,بیژن محمدی سنگجوئی,https://scimet.iust.ac.ir/Bijan_MohammadiSangjouei,۴۷,۳۳
۱۳/۶۲,۲۲۸,استاد,مهندسی راه آهن,جبارعلی ذاکری سردرودی,https://scimet.iust.ac.ir/JabbarAli_Zakeri,۴۶,۳۳
۲۵/۴,۲۰۷,دانشیار,مهندسی برق,داود عرب خابوری,https://scimet.iust.ac.ir/Davood_AravKhaburi,۶۹,۳۲
